primerid,logFC,pvalue,padj,regulation
RSPH9,,0.101646946728143,0.369142090554017,stable
SAMD15,,0.176419403737529,0.487469390482361,stable
SCN1B,,0.0309864901969965,0.185755184026567,stable
SCUBE3-AS1,,0.474210131546202,0.772856920097133,stable
SGPP2,,0.0384237464681798,0.21386750572443,stable
SGSM1,,0.0709919151757371,0.302901657151812,stable
SHF,,0.417393030701938,0.729617103861074,stable
SIRT4,,0.115322562052585,0.394450660717022,stable
SLC16A13,,0.132690375308778,0.42328365040899,stable
SLC18B1,,0.0452329682867176,0.234589649697427,stable
SLC1A4,,0.239471738639758,0.562834557418266,stable
SLC22A15,,0.0256939770103095,0.165918211819347,stable
SLC2A1,,0.597386348165762,0.84499545475333,stable
SLC2A10,,0.374393496383887,0.694388194841535,stable
SLC2A13,,0.0286405540801502,0.17766883186514,stable
SLC35E2,,0.0760043476417529,0.314805830186162,stable
SLC4A11,,0.0186064236888585,0.135950342601678,stable
SLC7A2,,0.27784189059854,0.605731990489844,stable
SLC9A7,,0.209233531049025,0.527790070892133,stable
SLX1A,,0.247162220328752,0.572185414451699,stable
SLX1B,,0.717410164661371,0.905765529107684,stable
SLX4,,0.111646538655066,0.38673006192525,stable
SMTNL2,,0.339153822954777,0.664074376389428,stable
SNAI1,,0.0630889628077395,0.282594166860318,stable
SOCS3-DT,,0.046129921057929,0.236704377163424,stable
SP4,,0.00783370831286325,0.0767301686029169,stable
SPATA24,,0.223763760356563,0.544119396578203,stable
SPEG,,0.0322530633084579,0.190280620599705,stable
SPIN4,,0.093146626839764,0.350874555386473,stable
SPIRE2,,0.0355035202931666,0.202896228173758,stable
SPOPL-DT,,0.0390590445475685,0.215751360392895,stable
SPRY4,,0.0983322086866508,0.361627820862685,stable
SPTBN2,,0.0488116856163281,0.243464187664949,stable
STAG3,,0.24496366817072,0.570227174760183,stable
STAM-DT,,0.0225455417583879,0.153878672503927,stable
STK31,,0.182008952734538,0.494857081456183,stable
STRADA,,0.00585998711397146,0.0628016969311587,stable
STRIP2,,0.108723011519855,0.382454702969411,stable
SUGT1-DT,,0.076682649209124,0.316678616193355,stable
SULT1A3,,0.182518998538972,0.495296049347045,stable
SUMO4,,0.0213587363010098,0.149707105816252,stable
SUV39H2,,0.109400251851148,0.383622684632366,stable
SUV39H2-DT,,0.0930469715212256,0.350874555386473,stable
SYPL2,,0.178567462724912,0.490849710894832,stable
TAS2R14,,0.146539248291056,0.443829477480145,stable
TAS2R4,,0.0294574943447134,0.180858066735197,stable
TBC1D31,,0.0915513537098863,0.347230452295889,stable
TBC1D3D,,0.214909065239706,0.534496116681621,stable
TBL1Y,,0.0630769558025092,0.282594166860318,stable
TBX1,,0.169187953464017,0.477922973379339,stable
TBX19,,0.139648012884671,0.432482955085529,stable
TDRD6,,0.127145446131711,0.413908371108929,stable
TDRKH,,0.0320179894998923,0.189653055313556,stable
TECTA,,0.154580568972576,0.456754381223295,stable
TEN1,,0.183411519250473,0.496017536020892,stable
THBS3-AS1,,0.380061667114826,0.699412842551832,stable
TIGD2,,0.00405502356887854,0.0484553225326409,stable
TIGD6,,0.0600425087203917,0.274582726000025,stable
TIGD7,,0.0241828070753003,0.160745314675623,stable
TIRAP,,0.0141237488744475,0.112916093028938,stable
TM4SF1-AS1,,0.358255294206559,0.680757456300478,stable
TMEM108,,0.0783919386000386,0.32102614989845,stable
TMEM167B-DT,,0.185717377755173,0.498934532955853,stable
TMEM177,,0.072558911006758,0.306800459407337,stable
TMEM206,,0.0170706962284927,0.128192473184283,stable
TMEM232,,0.0672790177601034,0.293566794574437,stable
TMEM255A,,0.0465284499887409,0.236917203272896,stable
TMEM86B,,0.0242994998454922,0.161345511195707,stable
TMSB15B,,0.0129913522935293,0.10708448444781,stable
TMSB15C,,0.108286425371916,0.381797883976436,stable
TMSB4Y,,0.60924766622097,0.852705240918428,stable
TNFRSF1B,,0.480421452647098,0.776808444068535,stable
TNIP3,,0.117571360296363,0.398952619894011,stable
TRAF5,,0.337655231662504,0.663264912717732,stable
TRIB2,,0.217823761610258,0.5383497092446,stable
TRIM2,,0.0695625544735448,0.299518374739208,stable
