leiden,gene,mean_expr,pct_expr
15,MUC5AC,-0.5817213,14.185527
15,MUC5B,0.6467702,36.085434
15,MUC2,-0.3227598,0.0
15,BPIFB1,0.27742144,62.480076
15,PIGR,0.20925674,75.54989
15,AGR2,0.5973456,93.05068
15,CLCA1,-0.0403889,0.0
15,TFF3,0.39633697,69.68441
15,SCGB1A1,1.4628501,96.23845
15,SCGB3A1,-0.008750661,43.576668
15,SCGB3A2,-0.010918928,0.0
15,SLPI,1.4975528,99.36245
15,WFDC2,0.0810859,59.64297
15,MSMB,0.184172,53.203697
15,VMO1,0.74099475,89.54415
15,LCN2,-0.13138664,46.254383
15,SAA1,-0.4494737,5.961109
15,SAA2,-0.3731384,3.3152692
15,IL8,-0.1826184,0.0
15,CXCL1,-0.21047392,19.094675
15,CXCL2,-0.18388297,1.7851449
15,DUOX2,-0.56409264,1.8489001
15,DUOXA2,-0.41008213,0.38253108
15,S100A8,-0.49358663,1.7532674
15,S100A9,-0.4136993,25.310806
15,IFI27,-0.5037669,29.964935
15,IFITM3,-0.24431372,41.377113
15,FOS,0.85874575,87.24896
15,JUN,1.3694258,92.28562
15,ATF3,0.24582878,35.160984
15,DUSP1,0.7073288,79.12018
15,IER2,1.0550617,85.40006
15,HSPA1A,0.54554516,72.29837
15,CD74,-0.5543022,17.277653
15,HLA-DRA,0.28619555,67.803635
15,HLA-DRB1,0.20953742,64.042076
15,HLA-DPA1,0.13619843,35.639145
15,MMP7,-0.1687118,1.0838381
15,PIP,-0.23915412,0.15938796
15,TCN1,-0.47181875,4.144087
15,CLU,0.74597234,84.44373
15,MALAT1,0.9252727,99.394325
15,XIST,1.0025597,85.75072
15,HBB,-0.054646116,9.818297
15,HBA2,0.38831416,13.2292
